case,TypeAcid,TotalDrivers,DeadPeople,Total_injuries,Unharmed,TypePlace,WeekDay,Month,HourNear,Motorcycle ,HeavyVehicle,LightVehicle,Vehicle,RoadType,Severity,DayOfYear,DayShift,Holidays,AccidentCause,AccidentClassification,DayPath ,WeatherCondition,Year,Latitude/Longitude
1,Collision with a car,4,2,2,0,Paved,Friday,1,5:00 AM,No,1,1,2,Paved,Yes,1,am,yes,Overspeed,with fatal victims,dawn,clear,2021,
2,Overturns,1,1,0,0,Paved,Friday,1,5:00 PM,No,1,0,1,Paved,Yes,1,pm,yes,Overspeed,with fatal victims,dusk,clear,2021,
3,Pedestrian run over,2,1,0,1,Paved,Friday,1,12:00 PM,No,0,1,1,Paved,Yes,1,pm,yes,Lack of focus,with fatal victims,midday,clear,2021,
4,Collision with a fixed object,2,0,2,0,Paved,Friday,1,12:00 PM,No,1,0,1,Paved,Yes,1,pm,yes,Overspeed,with injured victims,midday,clear,2021,
5,Collision with a fixed object,1,1,0,0,Paved,Saturday,1,7:30 PM,No,0,1,1,Paved,Yes,2,pm,yes,Overspeed,with fatal victims,dawn,clear,2021,
6,Collision with a car,3,2,0,1,Paved,Sunday,1,2:50 PM,No,0,3,3,Paved,Yes,3,pm,No,Irregular overtaking,with fatal victims,midday,clear,2021,
7,Overturns,1,0,1,0,Paved,Sunday,1,12:45 PM,No,0,1,1,Paved,Yes,3,pm,No,Overspeed,with injured victims,midday,clear,2021,
8,Collision with a fixed object,2,0,1,1,Paved,Monday,1,2:30 AM,No,0,1,1,Paved,Yes,4,am,No,Lack of focus,with injured victims,dawn,clear,2021,
9,Pedestrian run over,2,1,0,1,Paved,Monday,1,11:15 PM,No,0,1,1,Paved,Yes,4,pm,No,Lack of focus,with fatal victims,night,clear,2021,
10,Collision with a car,8,1,7,0,Paved,Monday,1,7:15 PM,No,1,1,2,Paved,Yes,4,pm,No,Lack of focus,with fatal victims,dusk,clear,2021,
11,Overturns,1,1,0,0,Paved,Tuesday,1,7:00 PM,No,1,0,1,Paved,Yes,5,pm,No,Lack of focus,with fatal victims,dusk,clear,2021,
12,Collision with a fixed object,1,0,1,0,Paved,Tuesday,1,2:05 AM,No,1,0,1,Paved,Yes,5,am,No,Lack of focus,with injured victims,dawn,clear,2021,
13,Collision with a car,2,0,2,2,Paved,Tuesday,1,7:30 PM,No,0,2,2,Paved,Yes,5,pm,No,Lack of focus,with injured victims,dusk,clear,2021,
14,Collision with a car,3,0,3,3,Paved,Wednesday,1,12:50 PM,No,0,2,2,Paved,Yes,6,pm,No,Irregular overtaking,with injured victims,midday,clear,2021,
15,Overturns,3,1,2,0,Paved,Wednesday,1,7:30 PM,No,0,1,1,Paved,Yes,6,pm,No,Lack of focus,with fatal victims,dusk,clear,2021,
16,Collision with a car,2,0,1,1,Paved,Wednesday,1,7:15 PM,No,0,2,2,Paved,Yes,6,pm,No,Overspeed,with injured victims,dusk,clear,2021,
17,Pedestrian run over,2,0,1,1,Paved,Wednesday,1,12:00 PM,No,0,1,1,Paved,Yes,6,pm,No,Lack of focus,with injured victims,midday,clear,2021,
18,Collision with a car,2,0,2,0,Paved,Wednesday,1,12:55 PM,No,0,2,2,Paved,Yes,6,pm,No,Overspeed,with injured victims,midday,clear,2021,
19,Pedestrian run over,2,1,0,1,Paved,Wednesday,1,2:30 PM,No,1,0,1,Paved,Yes,6,pm,No,Lack of focus,with fatal victims,midday,clear,2021,
20,Overturns,2,0,1,1,Paved,Thursday,1,3:35 PM,No,0,1,1,Paved,Yes,7,pm,No,Overspeed,with injured victims,midday,clear,2021,
21,Collision with a car,6,6,0,0,Paved,Thursday,1,3:00 PM,No,1,5,6,Paved,Yes,7,pm,No,Overspeed,with fatal victims,midday,clear,2021,
22,Collision with a car,12,3,2,7,Paved,Thursday,1,3:35 PM,No,1,3,4,Paved,Yes,7,pm,No,Irregular overtaking,with fatal victims,midday,clear,2021,
23,Pedestrian run over,2,1,0,1,Paved,Friday,1,10:35 PM,No,0,1,1,Paved,Yes,8,pm,yes,Overspeed,with fatal victims,morning,clear,2021,
24,Pedestrian run over,2,1,0,1,Paved,Friday,1,11:30 PM,No,0,1,1,Paved,Yes,8,pm,yes,Lack of focus,with fatal victims,morning,clear,2021,
25,Pedestrian run over,2,1,0,1,Paved,Sunday,1,9:00 AM,No,0,1,1,Paved,Yes,10,am,No,Lack of focus,with fatal victims,morning,clear,2021,
26,Pedestrian run over,2,0,0,2,Paved,Sunday,1,5:30 PM,No,0,1,1,Paved,No,10,pm,No,Lack of focus,without victims,dusk,clear,2021,
27,Overturns,1,0,1,0,Paved,Sunday,1,4:20 PM,No,1,0,1,Paved,Yes,10,pm,No,Overspeed,with injured victims,dusk,clear,2021,
28,Pedestrian run over,2,0,1,1,Paved,Sunday,1,4:30 PM,No,0,1,1,Paved,Yes,10,pm,No,Lack of focus,with injured victims,dusk,clear,2021,
29,Collision with a fixed object,1,0,1,0,Paved,Monday,1,10:00 AM,No,1,0,1,Paved,Yes,11,pm,No,Overspeed,with injured victims,morning,clear,2021,
30,Collision with a car,3,0,2,1,Paved,Monday,1,1:15 PM,No,0,2,2,Paved,Yes,11,pm,No,Lack of focus,with injured victims,midday,clear,2021,
31,Collision with a car,4,0,0,4,Paved,Monday,1,2:40 PM,No,0,2,2,Paved,No,11,pm,No,Overspeed,without victims,midday,clear,2021,
32,Collision with a car,5,1,3,1,Paved,Monday,1,4:15 PM,No,1,1,2,Paved,Yes,11,pm,No,Lack of focus,with fatal victims,dusk,clear,2021,
33,Pedestrian run over,2,1,0,1,Paved,Tuesday,1,6:50 PM,No,0,1,1,Paved,Yes,12,pm,No,Lack of focus,with fatal victims,dusk,clear,2021,
34,Overturns,2,0,2,0,Paved,Tuesday,1,12:00 PM,No,0,1,1,Paved,Yes,12,pm,No,Lack of focus,with injured victims,midday,clear,2021,
35,Collision with a car,6,0,6,0,Paved,Tuesday,1,7:30 PM,No,1,2,3,Paved,Yes,12,pm,No,Lack of focus,with injured victims,dusk,clear,2021,
36,Collision with a car,1,0,1,0,Paved,Tuesday,1,12:00 PM,No,0,1,1,Paved,Yes,12,pm,No,Lack of focus,with injured victims,midday,clear,2021,
37,Overturns,1,0,1,0,Paved,Wednesday,1,6:00 AM,No,0,1,1,Paved,Yes,13,am,No,Other,with injured victims,dawn,clear,2021,
38,Collision with a car,2,0,1,1,Paved,Wednesday,1,7:00 PM,No,1,1,2,Paved,Yes,13,pm,No,Overspeed,with injured victims,dusk,clear,2021,
39,Collision with a car,2,0,2,2,Paved,Thursday,1,8:30 AM,No,1,1,2,Paved,Yes,14,am,No,Lack of focus,with injured victims,morning,clear,2021,
40,Collision with a car,6,0,4,2,Paved,Thursday,1,5:00 AM,No,0,1,1,Paved,Yes,14,am,No,Lack of focus,with injured victims,dawn,clear,2021,
41,Collision with a fixed object,4,0,4,0,Paved,Thursday,1,1:30 AM,No,0,1,1,Paved,Yes,14,am,No,Overspeed,with injured victims,night,clear,2021,
42,Collision with a car,5,1,1,3,Paved,Friday,1,8:50 PM,No,1,2,3,Paved,Yes,15,pm,yes,Irregular overtaking,with fatal victims,night,clear,2021,
43,Overturns,1,0,1,0,Paved,Friday,1,9:00 PM,No,0,1,1,Paved,Yes,15,pm,yes,Overspeed,with injured victims,night,clear,2021,
44,Collision with a fixed object,1,0,1,0,Paved,Friday,1,2:20 PM,No,0,1,1,Paved,Yes,15,pm,yes,Lack of focus,with injured victims,midday,clear,2021,
45,Collision with a fixed object,1,0,1,0,Paved,Friday,1,6:00 AM,No,2,0,2,Paved,Yes,15,am,yes,Lack of focus,with injured victims,dawn,clear,2021,
46,Collision with a car,6,1,5,0,Paved,Saturday,1,4:30 AM,No,2,0,2,Paved,Yes,16,am,yes,Overspeed,with fatal victims,dawn,clear,2021,
47,Collision with a car,7,3,4,0,Paved,Saturday,1,7:30 PM,No,0,3,3,Paved,Yes,16,pm,yes,Overspeed,with fatal victims,night,clear,2021,
48,Collision with a fixed object,1,0,1,0,Paved,Saturday,1,9:00 PM,No,0,1,1,Paved,Yes,16,pm,yes,Lack of focus,with injured victims,night,clear,2021,
49,Collision with a car,4,0,2,2,Paved,Saturday,1,7:09 PM,No,1,1,2,Paved,Yes,16,pm,yes,Lack of focus,with injured victims,night,clear,2021,
50,Pedestrian run over,2,0,1,1,Paved,Saturday,1,5:30 PM,No,0,1,1,Paved,Yes,16,pm,yes,Lack of focus,with injured victims,dusk,clear,2021,
51,Collision with a car,3,1,2,0,Paved,Sunday,1,2:20 AM,No,1,1,2,Paved,Yes,17,am,No,Overspeed,with fatal victims,night,clear,2021,
52,Overturns,1,0,1,0,Paved,Monday,1,4:30 AM,No,0,1,1,Paved,Yes,18,am,No,Overspeed,with injured victims,dawn,clear,2021,
53,Collision with a car,2,0,1,1,Paved,Monday,1,10:45 PM,No,2,0,2,Paved,Yes,18,am,No,Lack of focus,with injured victims,night,clear,2021,
54,Overturns,1,0,1,0,Paved,Monday,1,1:50 AM,No,1,0,1,Paved,Yes,18,am,No,Lack of focus,with injured victims,night,clear,2021,
55,Overturns,1,1,0,0,Paved,Monday,1,6:00 AM,No,0,1,1,Paved,Yes,18,am,No,Overspeed,with fatal victims,dawn,clear,2021,
56,Run over animal,1,1,0,0,Paved,Tuesday,1,2:00 AM,No,0,1,1,Paved,Yes,19,am,No,Overspeed,with fatal victims,night,clear,2021,
57,Collision with a fixed object,2,0,2,0,Paved,Tuesday,1,10:40 PM,No,0,1,1,Paved,Yes,19,pm,No,Overspeed,with injured victims,night,clear,2021,
58,Collision with a car,2,0,1,1,Paved,Tuesday,1,8:00 PM,No,1,1,2,Paved,Yes,19,pm,No,Lack of focus,with injured victims,night,clear,2021,
59,Overturns,1,0,1,0,Paved,Wednesday,1,4:00 PM,No,0,1,1,Paved,Yes,20,pm,No,Overspeed,with injured victims,dusk,clear,2021,
60,Collision with a fixed object,2,0,1,1,Paved,Thursday,1,9:20 PM,No,0,1,1,Paved,Yes,21,pm,No,Lack of focus,with injured victims,night,clear,2021,
61,Collision with a car,2,1,0,1,Paved,Friday,1,2:30 PM,No,2,0,2,Paved,Yes,22,pm,yes,Irregular overtaking,with fatal victims,midday,clear,2021,
62,Collision with a fixed object,2,1,1,0,Paved,Friday,1,4:30 AM,No,0,1,1,Paved,Yes,22,am,yes,Overspeed,with fatal victims,dawn,clear,2021,
63,Collision with a car,2,0,2,0,Paved,Friday,1,11:00 AM,No,1,1,2,Paved,Yes,22,am,yes,Irregular overtaking,with injured victims,morning,clear,2021,
64,Collision with a fixed object,2,0,1,1,Paved,Friday,1,2:00 AM,No,0,1,1,Paved,Yes,22,am,yes,Overspeed,with injured victims,night,clear,2021,
65,Collision with a car,4,0,4,0,Paved,Friday,1,10:00 PM,No,0,2,2,Paved,Yes,22,am,yes,Irregular overtaking,with injured victims,night,clear,2021,
66,Collision with a car,5,0,4,1,Paved,Saturday,1,4:30 PM,No,1,1,2,Paved,Yes,23,pm,yes,Overspeed,with injured victims,dusk,clear,2021,
67,Collision with a fixed object,4,1,2,1,Paved,Saturday,1,3:10 AM,No,1,1,2,Paved,Yes,23,am,yes,Overspeed,with fatal victims,dawn,clear,2021,
68,Collision with a fixed object,2,1,1,0,Paved,Saturday,1,6:15 AM,No,1,0,1,Paved,Yes,23,am,yes,Overspeed,with fatal victims,dawn,clear,2021,
69,Collision with a car,2,0,2,0,Paved,Sunday,1,1:50,No,1,1,2,Paved,Yes,24,am,No,Overspeed,with injured victims,night,clear,2021,
70,Overturns,3,2,1,0,Paved,Sunday,1,1:15 AM,No,0,1,1,Paved,Yes,24,am,No,Overspeed,with fatal victims,night,clear,2021,
71,Collision with a car,4,0,3,1,Paved,Sunday,1,9:19 AM,No,0,2,2,Paved,Yes,24,am,No,Overspeed,with injured victims,morning,clear,2021,
72,Collision with a fixed object,1,0,1,0,Paved,Monday,1,4:30 PM,No,0,1,1,Paved,Yes,25,pm,No,Lack of focus,with injured victims,dusk,clear,2021,
73,Pedestrian run over,2,0,1,1,Paved,Monday,1,8:30 PM,No,1,0,1,Paved,Yes,25,pm,No,Lack of focus,with fatal victims,night,clear,2021,
74,Collision with a fixed object,1,1,0,0,Paved,Monday,1,7:30 PM,No,0,1,1,Paved,Yes,25,pm,No,Overspeed,with fatal victims,night,clear,2021,
75,Overturns,1,1,0,0,Paved,Tuesday,1,12:30,No,0,1,1,Paved,Yes,26,pm,No,Overspeed,with fatal victims,midday,clear,2021,
76,Overturns,3,2,1,0,Paved,Tuesday,1,7:00 PM,No,0,1,1,Paved,Yes,26,pm,No,Overspeed,with fatal victims,night,clear,2021,
77,Collision with a fixed object,1,1,0,0,Paved,Tuesday,1,7:10 PM,No,0,1,1,Paved,Yes,26,pm,No,Overspeed,with fatal victims,night,clear,2021,
78,Pedestrian run over,2,1,0,1,Paved,Wednesday,1,4:30 PM,No,0,1,1,Paved,Yes,27,pm,No,Lack of focus,with fatal victims,dusk,clear,2021,
79,Collision with a car,2,0,1,1,Paved,Wednesday,1,5:00 PM,No,1,1,2,Paved,Yes,27,pm,No,Lack of focus,with injured victims,dusk,clear,2021,
80,Get out of the way,2,0,1,1,Paved,Wednesday,1,9:30 AM,No,1,0,1,Paved,Yes,27,am,No,Overspeed,with injured victims,morning,clear,2021,
81,Collision with a fixed object,2,1,0,1,Paved,Thursday,1,3:10 PM,No,1,0,1,Paved,Yes,28,pm,No,Overspeed,with fatal victims,midday,clear,2021,
82,Collision with a car,2,0,2,0,Paved,Thursday,1,3:40 PM,No,0,2,2,Paved,Yes,28,pm,No,Irregular overtaking,with injured victims,midday,clear,2021,
83,Pedestrian run over,2,0,1,0,Paved,Thursday,1,7:55 PM,No,0,1,1,Paved,Yes,28,pm,No,Lack of focus,with injured victims,night,clear,2021,
84,Collision with a car,5,1,4,0,Paved,Friday,1,3:30 PM,No,1,1,2,Paved,Yes,29,pm,yes,Irregular overtaking,with fatal victims,midday,clear,2021,
85,Collision with a fixed object,1,1,0,0,Paved,Friday,1,2:00 AM,No,0,1,1,Paved,Yes,29,am,yes,Overspeed,with fatal victims,night,clear,2021,
86,Overturns,1,1,0,0,Paved,Friday,1,2:15 AM,No,1,0,1,Paved,Yes,29,am,yes,Overspeed,with fatal victims,night,clear,2021,
87,Pedestrian run over,2,0,1,1,Paved,Saturday,1,11:50 PM,No,1,0,1,Paved,Yes,30,pm,yes,Overspeed,with injured victims,night,clear,2021,
88,Collision with a car,5,0,5,0,Paved,Saturday,1,11:30 PM,No,1,1,2,Paved,Yes,30,pm,yes,Lack of focus,with injured victims,night,clear,2021,
89,Overturns,15,0,15,0,Paved,Saturday,1,1:20 PM,No,1,0,1,Paved,Yes,30,pm,yes,Overspeed,with injured victims,midday,clear,2021,
90,Pedestrian run over,3,2,0,1,Paved,Saturday,1,1:15 PM,No,0,1,1,Paved,Yes,30,pm,yes,Overspeed,with fatal victims,midday,clear,2021,
91,Pedestrian run over,2,0,1,1,Paved,Sunday,1,1:00 AM,No,0,1,1,Paved,Yes,31,am,No,Lack of focus,with injured victims,night,clear,2021,
92,Collision with a car,2,0,1,1,Paved,Sunday,1,12:00 PM,No,1,1,2,Paved,Yes,31,pm,No,irregular rotation,with injured victims,midday,clear,2021,
93,Collision with a car,5,1,4,0,Paved,Monday,2,7:00 PM,No,2,2,4,Paved,Yes,1,pm,No,Irregular overtaking,with fatal victims,night,clear,2021,
94,Overturns,5,0,5,0,Paved,Monday,2,3:40 PM,No,0,1,1,Paved,Yes,1,pm,No,Overspeed,with injured victims,midday,clear,2021,
95,Collision with a car,5,0,5,0,Paved,Tuesday,2,11:30 PM,No,0,3,3,Paved,Yes,2,pm,No,Overspeed,with injured victims,night,clear,2021,
96,Collision with a car,2,1,0,1,Paved,Wednesday,2,4:30 PM,No,1,1,2,Paved,Yes,3,pm,No,Overspeed,with fatal victims,dusk,clear,2021,
97,Pedestrian run over,2,1,0,1,Paved,Wednesday,2,9:00 PM,No,1,0,1,Paved,Yes,3,pm,No,Overspeed,with fatal victims,night,clear,2021,
98,Collision with a fixed object,1,0,1,0,Paved,Wednesday,2,11:00 PM,No,1,0,1,Paved,Yes,3,pm,No,Lack of focus,with injured victims,night,clear,2021,
99,Collision with a fixed object,1,0,1,0,Paved,Wednesday,2,11:40 PM,No,0,1,1,Paved,Yes,3,pm,No,Overspeed,with injured victims,night,clear,2021,
100,Collision with a car,2,2,0,0,Paved,Thursday,2,10:30 PM,No,1,1,2,Paved,Yes,4,pm,No,Irregular overtaking,with fatal victims,night,clear,2021,
101,Collision with a fixed object,1,0,1,0,Paved,Thursday,2,2:00 AM,No,0,1,1,Paved,Yes,4,am,No,Lack of focus,with injured victims,night,clear,2021,
102,Collision with a car,2,0,1,1,Paved,Thursday,2,9:19 PM,No,0,2,2,Paved,Yes,4,pm,No,Overspeed,with injured victims,night,clear,2021,
103,Pedestrian run over,2,0,1,1,Paved,Saturday,2,12:37 PM,No,0,1,1,Paved,Yes,6,pm,yes,Lack of focus,with injured victims,midday,clear,2021,
104,Collision with a fixed object,1,0,1,0,Paved,Sunday,2,8:45 AM,No,0,1,1,Paved,Yes,7,am,No,Overspeed,with injured victims,morning,clear,2021,
105,Pedestrian run over,2,1,0,1,Paved,Sunday,2,3:00 PM,No,0,1,1,Paved,Yes,7,pm,No,Lack of focus,with fatal victims,midday,clear,2021,
106,Overturns,2,2,0,0,Paved,Sunday,2,2:30 PM,No,0,1,1,Paved,Yes,7,pm,No,Overspeed,with fatal victims,midday,clear,2021,
107,Collision with a car,2,1,1,0,Paved,Monday,2,9:30 AM,No,2,0,2,Paved,Yes,8,am,No,Lack of focus,with fatal victims,morning,clear,2021,
108,Overturns,5,1,4,0,Paved,Tuesday,2,10:45 PM,No,0,1,1,Paved,Yes,9,pm,No,Overspeed,with fatal victims,night,clear,2021,
109,Collision with a fixed object,1,0,1,0,Paved,Tuesday,2,7:50 AM,No,1,0,1,Paved,Yes,9,am,No,Overspeed,with injured victims,morning,clear,2021,
110,Collision with a car,2,1,0,1,Paved,Tuesday,2,1:30 AM,No,1,1,2,Paved,Yes,9,am,No,Overspeed,with fatal victims,night,clear,2021,
111,Collision with a car,3,0,1,2,Paved,Wednesday,2,6:50 PM,No,1,2,3,Paved,Yes,10,pm,No,Overspeed,with injured victims,dusk,clear,2021,
112,Pedestrian run over,1,0,1,0,Paved,Wednesday,2,1:00 PM,No,1,0,1,Paved,Yes,10,pm,No,Lack of focus,with injured victims,midday,clear,2021,
113,Collision with a car,2,0,2,0,Paved,Wednesday,2,11:53 AM,No,1,1,2,Paved,Yes,10,am,No,Lack of focus,with injured victims,midday,clear,2021,
114,Collision with a car,4,0,3,0,Paved,Wednesday,2,4:51 PM,No,1,1,2,Paved,Yes,10,pm,No,Overspeed,with injured victims,dusk,clear,2021,
115,Overturns,1,1,0,0,Paved,Thursday,2,1:30 AM,No,1,0,1,Paved,Yes,11,am,No,Overspeed,with fatal victims,night,clear,2021,
116,Collision with a car,2,1,0,1,Paved,Thursday,2,12:30 PM,No,0,2,2,Paved,Yes,11,pm,No,Overspeed,with fatal victims,night,clear,2021,
117,Collision with a car,4,0,3,1,Paved,Friday,2,6:00 PM,No,1,1,2,Paved,Yes,12,pm,yes,Lack of focus,with injured victims,dusk,clear,2021,
118,Overturns,3,0,3,0,Paved,Friday,2,3:55 AM,No,0,1,1,Paved,Yes,12,am,yes,Overspeed,with injured victims,dawn,clear,2021,
119,Pedestrian run over,2,0,1,1,Paved,Saturday,2,12:48 PM,No,0,1,1,Paved,Yes,13,pm,yes,Lack of focus,with injured victims,midday,clear,2021,
120,Collision with a car,3,0,3,0,Paved,Saturday,2,4:30 PM,No,0,2,2,Paved,Yes,13,pm,yes,irregular rotation,with injured victims,dusk,clear,2021,
121,Overturns,2,1,1,0,Paved,Saturday,2,4:00 PM,No,0,1,1,Paved,Yes,13,pm,yes,Overspeed,with fatal victims,dusk,clear,2021,
122,Collision with a fixed object,2,1,1,0,Paved,Saturday,2,8:00 PM,No,0,1,1,Paved,Yes,13,pm,yes,Overspeed,with fatal victims,night,clear,2021,
123,Overturns,2,1,1,0,Paved,Saturday,2,5:30 PM,No,0,1,1,Paved,Yes,13,pm,yes,Overspeed,with fatal victims,dusk,clear,2021,
124,Run over animal,1,1,0,0,Paved,Saturday,2,2:00 PM,No,0,1,1,Paved,Yes,13,pm,yes,Lack of focus,with fatal victims,midday,clear,2021,
125,Collision with a car,5,2,3,0,Paved,Sunday,2,8:00 PM,No,2,1,3,Paved,Yes,14,pm,No,Lack of focus,with fatal victims,night,clear,2021,
126,Pedestrian run over,2,1,0,1,Paved,Sunday,2,1:00 AM,No,0,1,1,Paved,Yes,14,am,No,Irregular overtaking,with fatal victims,night,clear,2021,
127,Overturns,0,1,1,0,Paved,Monday,2,12:15 PM,No,1,0,1,Paved,Yes,15,pm,No,Overspeed,with injured victims,midday,clear,2021,
128,Collision with a car,2,1,0,1,Paved,Tuesday,2,5:30 AM,No,2,0,2,Paved,Yes,16,am,No,Lack of focus,with fatal victims,dawn,clear,2021,
129,Collision with a car,3,3,0,0,Paved,Tuesday,2,5:05 PM,No,1,1,2,Paved,Yes,16,pm,No,Overspeed,with fatal victims,dusk,clear,2021,
130,Collision with a car,3,0,2,1,Paved,Wednesday,2,12:25 PM,No,1,1,2,Paved,Yes,17,pm,No,Overspeed,with injured victims,midday,clear,2021,
131,Collision with a fixed object,1,0,0,1,Paved,Wednesday,2,2:25 PM,No,0,1,1,Paved,Yes,17,pm,No,Overspeed,with injured victims,midday,clear,2021,
132,Overturns,1,1,0,0,Paved,Wednesday,2,12:00 PM,No,0,1,1,Paved,Yes,17,pm,No,Overspeed,with fatal victims,midday,clear,2021,
133,Collision with a car,4,0,4,0,Paved,Thursday,2,11:00 AM,No,1,1,2,Paved,Yes,18,pm,No,Lack of focus,with injured victims,morning,clear,2021,
134,Pedestrian run over,2,1,0,1,Paved,Thursday,2,23:00,No,1,0,1,Paved,Yes,18,pm,No,Overspeed,with fatal victims,night,clear,2021,
135,Collision with a car,3,0,1,2,Paved,Thursday,2,10:20 PM,No,2,1,3,Paved,Yes,18,pm,No,Overspeed,with injured victims,night,clear,2021,
136,Collision with a car,2,1,0,1,Paved,Thursday,2,4:10 AM,No,1,1,2,Paved,Yes,18,am,No,Lack of focus,with fatal victims,dawn,clear,2021,
137,Collision with a fixed object,3,0,3,0,Paved,Friday,2,1:00 PM,No,0,1,1,Paved,Yes,19,pm,yes,Overspeed,with injured victims,midday,clear,2021,
138,Collision with a car,2,0,2,0,Paved,Friday,2,7:30 PM,No,0,2,2,Paved,Yes,19,pm,yes,Lack of focus,with injured victims,night,clear,2021,
139,Overturns,1,0,1,0,Paved,Friday,2,10:30 PM,No,1,0,1,Paved,Yes,19,pm,yes,Lack of focus,with injured victims,night,clear,2021,
140,Collision with a car,6,0,1,5,Paved,Friday,2,8:00 AM,No,0,2,2,Paved,Yes,19,pm,yes,Lack of focus,with injured victims,morning,clear,2021,
141,Collision with a car,4,1,3,0,Paved,Friday,2,3:30 AM,No,0,2,2,Paved,Yes,19,pm,yes,Lack of focus,with fatal victims,dawn,clear,2021,
142,Overturns,1,0,1,0,Paved,Saturday,2,1:00 AM,No,0,1,1,Paved,Yes,20,pm,yes,Lack of focus,with injured victims,night,clear,2021,
143,Collision with a car,2,1,1,0,Paved,Sunday,2,3:00 AM,No,1,1,2,Paved,Yes,21,pm,No,Lack of focus,with fatal victims,dawn,clear,2021,
144,Collision with a car,2,0,1,1,Paved,Sunday,2,9:00 PM,No,0,2,2,Paved,Yes,21,pm,No,Overspeed,with injured victims,night,clear,2021,
145,Collision with a car,6,0,6,0,Paved,Sunday,2,7:05 PM,No,0,2,2,Paved,Yes,21,pm,No,Overspeed,with injured victims,night,clear,2021,
146,Overturns,3,0,3,0,Paved,Sunday,2,7:00 PM,No,0,1,1,Paved,Yes,21,pm,No,Overspeed,with injured victims,night,clear,2021,
147,Collision with a fixed object,1,0,1,0,Paved,Monday,2,5:40 AM,No,0,1,1,Paved,Yes,22,pm,No,Overspeed,with injured victims,dawn,clear,2021,
148,Overturns,1,1,0,0,Paved,Tuesday,2,10:30 PM,No,1,0,1,Paved,Yes,23,pm,No,Overspeed,with fatal victims,night,clear,2021,
149,Collision with a car,2,0,2,0,Paved,Tuesday,2,4:30 PM,No,1,1,2,Paved,Yes,23,pm,No,Lack of focus,with injured victims,dusk,clear,2021,
150,Collision with a car,2,0,1,0,Paved,Tuesday,2,11:15 PM,No,0,2,2,Paved,Yes,23,pm,No,Lack of focus,with injured victims,night,clear,2021,
151,Collision with a fixed object,1,1,0,0,Paved,Wednesday,2,11:10 AM,No,1,0,1,Paved,Yes,24,pm,No,Other,with fatal victims,morning,clear,2021,
152,Overturns,2,1,1,0,Paved,Wednesday,2,7:00 PM,No,1,0,1,Paved,Yes,24,pm,No,Overspeed,with fatal victims,night,clear,2021,
153,Pedestrian run over,2,1,0,1,Paved,Wednesday,2,8:15 PM,No,0,1,1,Paved,Yes,24,pm,No,Lack of focus,with fatal victims,night,clear,2021,
154,Collision with a fixed object,2,0,2,0,Paved,Wednesday,2,8:30 PM,No,0,1,1,Paved,Yes,24,pm,No,Overspeed,with injured victims,night,clear,2021,
155,Collision with a car,2,1,0,1,Paved,Wednesday,2,7:15 PM,No,1,1,2,Paved,Yes,24,pm,No,Overspeed,with fatal victims,night,clear,2021,
156,Pedestrian run over,2,0,1,0,Paved,Thursday,2,7:00 PM,No,1,0,0,Paved,Yes,25,pm,No,Irregular overtaking,with injured victims,night,clear,2021,
157,Overturns,5,0,5,0,Paved,Thursday,2,9:30 PM,No,0,1,1,Paved,Yes,25,pm,No,Overspeed,with injured victims,night,clear,2021,
158,Overturns,3,0,3,0,Paved,Thursday,2,3:30 PM,No,1,0,1,Paved,Yes,25,pm,No,Overspeed,with injured victims,midday,clear,2021,
159,Overturns,1,1,0,0,Paved,Thursday,2,9:30 PM,No,0,1,1,Paved,Yes,25,pm,No,Lack of focus,with fatal victims,night,clear,2021,
160,Collision with a car,4,0,1,3,Paved,Friday,2,1:30 AM,No,0,2,2,Paved,Yes,26,am,yes,Overspeed,with injured victims,night,clear,2021,
161,Collision with a car,4,0,1,3,Paved,Friday,2,7:30 PM,No,1,3,4,Paved,Yes,26,pm,yes,Overspeed,with injured victims,night,clear,2021,
162,Overturns,1,1,0,0,Paved,Friday,2,3:15 AM,No,0,1,1,Paved,Yes,26,pm,yes,Overspeed,with fatal victims,dawn,clear,2021,
163,Overturns,1,1,0,0,Paved,Friday,2,7:15 AM,No,0,1,1,Paved,Yes,26,am,yes,Overspeed,with fatal victims,morning,clear,2021,
164,Pedestrian run over,6,0,5,1,Paved,Saturday,2,5:40 PM,No,0,1,1,Paved,Yes,27,pm,yes,Lack of focus,with injured victims,dusk,clear,2021,
165,Pedestrian run over,2,0,1,1,Paved,Saturday,2,11:40 PM,No,0,1,1,Paved,Yes,27,pm,yes,Lack of focus,with injured victims,night,clear,2021,
166,Collision with a car,5,1,3,1,Paved,Saturday,2,11:00 AM,No,2,0,1,Paved,Yes,27,am,yes,Overspeed,with fatal victims,morning,clear,2021,
167,Collision with a car,3,0,1,2,Paved,Sunday,2,3:30 AM,No,0,2,2,Paved,Yes,28,am,No,Lack of focus,with injured victims,dawn,clear,2021,
168,Collision with a car,2,1,1,0,Paved,Sunday,2,3:14,No,0,2,2,Paved,Yes,28,am,No,Irregular overtaking,with fatal victims,dawn,clear,2021,
169,Collision with a car,3,0,1,2,Paved,Monday,3,5:00 PM,No,0,2,2,Paved,Yes,1,pm,No,Lack of focus,with injured victims,dusk,clear,2021,
170,Collision with a car,2,1,0,1,Paved,Monday,3,6:45 PM,No,2,0,2,Paved,Yes,1,pm,No,Irregular overtaking,with injured victims,dusk,clear,2021,
